,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4169,Netherlands,NLD,2014,16.865008,Europe,Western Europe,10332.602877924437,612.6651631546476,10006.008270471206,0.13919937824105055,1.159687890880934,2.516406075821758,41900.0,0.463906574
4170,Guinea,GIN,2014,11.333365,Africa,Sub-Saharan Africa,196.94558975324063,17.377503482261503,341.57874881079573,-4.283628018831875,2.276437910599051,11.102225829914286,12300.0,0.341183229
4172,Afghanistan,AFG,2014,32.71621,Asia,South Asia,268.2387877199877,8.19895665543129,223.72196991939734,21.971373881128088,1.298012877900222,5.109792660080327,308800.0,3.727055016
4173,Cameroon,CMR,2014,22.299585,Africa,Sub-Saharan Africa,401.5291181013931,18.00612514095635,382.44962276255274,0.4469456069974287,1.1049796230691487,5.507783563931761,23200.0,0.255207049
4174,Canada,CAN,2014,35.437435,Americas,North America,17853.640477684858,503.807357323826,18336.748606821395,1.6311637006653612,0.9899252994388685,2.579913567408538,70200.0,0.358405427
4175,Congo,COG,2014,4.944861,Africa,Sub-Saharan Africa,704.893729407907,142.5507672324676,659.1616644329424,90.44774009102746,3.940357267486981,8.114016707177381,12000.0,0.612832717
4176,Czech Republic,CZE,2014,10.525347,Europe,Central Europe,2022.883295194508,192.1916013975129,2409.7781766816393,-0.49210675141851956,0.9662278180647556,2.266960361936229,24800.0,0.467916759
4177,Denmark,DNK,2014,5.643475,Europe,Western Europe,4056.861510684545,718.858772420281,3668.7811271702253,-4.394483463172594,1.1492732863458925,2.0813565519447867,17200.0,0.600343173
4178,Oman,OMN,2014,4.009267,Asia,Middle East,8213.524057217166,2048.6348395397877,8823.522171317207,-7.254086873845445,8.860411813946616,21.393442622950822,47000.0,2.196250393
4179,Sudan,SDN,2014,37.003245,Africa,Sub-Saharan Africa,1047.8787199874052,24.95005233301549,2156.234827956695,0.0,1.7789240269323678,10.563912724989535,264300.0,2.528376071
4180,Azerbaijan,AZE,2014,9.535079,Europe,Eastern Europe,3427.179917064822,359.42858124875755,2735.0962241389834,0.3664159100130737,4.555013123982235,12.522593869374827,81950.0,1.808503032
4181,Bahrain,BHR,2014,1.311134,Asia,Middle East,1475.2659574468087,1125.18320587126,1624.4481165913273,6.649459784239209,4.418512028038872,15.550883095037845,19460.0,2.620480143
4182,Sweden,SWE,2014,9.69611,Europe,Western Europe,6555.5180638950205,676.0977406294917,5276.34337547205,5.946528423169095,1.126447318000466,2.267472637167071,30550.0,0.590388476
4183,Ivory Coast,CIV,2014,22.995555,Africa,Sub-Saharan Africa,521.2605292510298,22.66788208638712,472.68255077755714,20.772469343820156,1.067784660160635,7.01849128540305,25000.0,0.29900819
